year mon day hour min sec camp flt prof lat lon alt pressure theta co2 co2qcls co2oms co2ao2 strat h2oref n2oref o3ref co2mspo co2mqcls co2moms co2mao2
2009 1 18 22 47 28.57733 1 6 0 -24.3032 -174.7341 9044 330.1362 338.9109 385.4176 385.0659 384.7352 385.185 0 1794.488 323.3308 24.81971 1.97 0.352 0.682 0.233
2009 1 18 22 52 57.81955 1 6 64 -24.7679 -174.9365 6529 461.1252 329.8321 384.7288 384.1409 383.8543 384.9691 0 208.1346 323.179 51.31059 1.28 0.588 0.874 -0.24
2009 1 18 22 56 48.91737 1 6 64 -25.0778 -175.0726 4633 585.058 321.0525 384.619 383.7043 383.7414 384.6091 0 300.4084 322.9652 49.17825 1.17 0.915 0.878 0.01
2009 1 18 23 0 14.87816 1 6 64 -25.3332 -175.1854 2957 717.2864 311.3508 384.5791 383.5173 NA 384.4692 0 943.2835 323.0213 53.91975 1.129 1.062 NA 0.11
2009 1 18 23 3 0.1979978 1 6 64 -25.5213 -175.2687 1635 840.0526 300.0813 384.5192 383.45 383.6351 384.3583 0 10396.61 322.6329 28.51575 1.069 1.069 0.884 0.161
2009 1 18 23 6 20.26483 1 6 0 -25.7422 -175.3668 336 977.6805 296.9047 384.2696 383.4571 383.5709 384.5346 0 20198.65 322.4093 17.6981 0.819 0.813 0.699 -0.265
2009 1 18 23 29 27.08989 1 6 0 -27.5955 -176.2069 8989 329.5885 338.1777 384.8187 384.4891 NA 384.7451 0 238.9818 323.1488 58.15483 1.364 0.33 NA 0.074
2009 1 18 23 35 21.19957 1 6 66 -28.1243 -176.4515 6385 466.6284 326.2193 384.3794 NA 383.6979 384.2969 0 1384.459 323.1308 53.79595 0.924 NA 0.682 0.083
2009 1 18 23 39 38.1856 1 6 66 -28.4657 -176.6108 4300 606.9361 315.6726 384.6091 383.5352 NA 384.7648 0 792.1209 323.2997 51.91908 1.152 1.074 NA -0.156
2009 1 18 23 42 19.55638 1 6 66 -28.662 -176.7028 3002 711.6946 308.3188 384.7987 383.6133 383.9529 384.6394 0 3352.875 323.0761 35.84969 1.342 1.185 0.846 0.159
2009 1 18 23 45 21.16063 1 6 66 -28.8693 -176.8004 1559 846.3207 299.5923 384.5292 383.4101 383.6928 384.4733 0 11997.05 322.4309 24.04642 1.072 1.119 0.836 0.056
2009 1 18 23 48 22.28384 1 6 0 -29.0672 -176.894 340 975.7572 296.469 384.3495 383.4044 383.6609 384.6099 0 22848.87 322.0199 16.13119 0.891 0.945 0.689 -0.26
2009 1 19 0 10 22.31477 1 6 0 -30.719 -177.6915 8902 329.6337 334.9108 384.7089 384.3 NA 384.7051 0 128.7764 323.0796 47.27 1.249 0.409 NA 0.004
2009 1 19 0 19 7.084381 1 6 68 -31.4905 -178.0762 6234 471.1702 322.6347 384.8786 383.856 384.1664 384.6443 0 1007.429 322.8686 44.45584 1.419 1.023 0.712 0.234
2009 1 19 0 22 28.50484 1 6 68 -31.7548 -178.2098 4606 579.6068 314.5847 384.3994 383.4339 383.6558 384.5029 0 258.3627 321.8396 58.60371 0.939 0.966 0.744 -0.104
2009 1 19 0 25 54.90987 1 6 68 -32.0065 -178.3374 2961 710.9391 305.5784 384.4094 383.3303 383.6259 384.3669 0 523.3704 321.3568 48.29573 0.949 1.079 0.784 0.043
2009 1 19 0 29 39.36591 1 6 68 -32.2564 -178.4651 1195 880.4636 294.533 383.5508 382.7435 NA 383.6614 0 9689.775 321.8782 21.23406 0.091 0.807 NA -0.111
2009 1 19 0 32 23.34948 1 6 0 -32.4223 -178.5503 317 976.2815 293.0522 383.6307 382.9077 382.9546 383.5521 0 14473.8 321.5988 19.22145 0.171 0.723 0.676 0.079
2009 1 19 1 16 1.679214 1 6 0 -35.6735 179.7127 337 971.0183 291.8006 384.06 NA 383.5372 384.0158 0 14149.53 322.4759 17.51294 0.592 NA 0.523 0.044
2009 1 19 1 19 16.99989 1 6 71 -35.8549 179.6118 1464 848.6446 293.7612 383.7505 383.8377 383.4132 383.8682 0 9316.358 321.7999 20.66352 0.281 -0.087 0.337 -0.118
2009 1 19 1 22 50.10138 1 6 71 -36.0436 179.5064 3108 692.4976 301.5812 NA 383.9961 383.6849 384.0073 0 3891.932 321.7785 27.83836 NA NA NA NA
2009 1 19 1 27 23.84019 1 6 71 -36.3312 179.3448 5241 526.382 310.2914 384.2597 383.9259 383.866 384.272 0 371.0801 321.8005 35.17745 0.786 0.334 0.394 -0.012
2009 1 19 1 31 57.91171 1 6 71 -36.7028 179.134 7355 394.3332 316.9186 384.4693 383.9169 384.1028 NA 0 186.9517 321.6821 38.74307 0.993 0.552 0.366 NA
2009 1 19 1 36 0.1004753 1 6 71 -37.0864 178.9132 9214 301.0868 328.4891 384.3595 NA 383.9749 NA 0 32.0079 322.0976 140.2453 0.881 NA 0.385 NA
